"CUST_NO","CC_IND","FX_IND","LN_IND","WM_IND"
"FC55GMCOAGLRIRHW",0,0,0,0
"QQY2-VWDDVYQKK4M",0,0,0,0
"EGWCAQXQ1FVTRLGI",0,0,0,0
"PWBUII7LRAYSR6QU",0,0,0,0
"RLQKN-MVQSGFESB4",0,0,0,0
"K7NZT0O-IKRVOJUM",0,0,0,0
"H3XBNYX-11DMUQIM",0,0,0,0
"RWAR75NVQA_CNZBY",0,0,0,0
"PAC4ZOPSZ30FF2PS",0,0,0,0
"S0_WY4YUL15VJ2SE",0,0,0,0
"H5VJWZJOTYO4EOYM",0,0,0,0
"1SW45OUSTU97L6VC",0,0,0,0
"YRXGF3A27VHO7BRI",0,0,0,0
"HOFBFERHEYHIEVDO",0,0,0,0
"HEBDFF-KZUR503O0",0,0,0,0
"JCZMJKLLJTIKD5O4",0,0,0,0
"EZ6QME2C26KPQP9E",0,0,0,0
"KX7QERUX6SPFCVYO",0,0,0,0
"HNWO1CN8DGVKVKNO",0,0,0,0
"OFTPRU35FBO4DQTU",0,0,0,0
"A0RINGULIA0P9FXE",0,0,0,0
"GUIJYOWSK7ST4G6S",0,0,0,0
"VAM4E_XDLTMT2KBW",0,0,0,0
"DKIXTRKDRAMM3YYE",0,0,0,0
"UIN82WCRPBSKEYBO",0,0,0,0
"ZRGYSMNI4IMSAQFW",0,0,0,0
"I8AFQMYRCOIMVTX8",0,0,0,0
"BNZMU8D-CCSO2XPO",0,0,0,0
"HCB93ASAXUHKJA3G",0,0,0,0
"SPG2UZ1-MVOBKWJG",0,0,0,0
"OG6VRS0YVEKBAT8K",0,0,0,0
"B-H_SOKT5AA8URFA",0,0,0,0
"2HCMCQ1NIR5TGCCU",0,0,0,0
"ILZ4G853HENJFR0O",0,0,0,0
"S-UHC58_ADNJC3A4",0,0,0,0
"OCPO8XSJISWN_KVA",0,0,0,0
"TMBYA4MVSE8ZBGSG",0,0,0,0
"3MHILCNTDTQUPRIC",0,0,0,0
"-MYARAPYXHIEFCIS",0,0,0,0
"EF37NBFPJVFFVPT0",0,0,0,0
"WYX2POF9WSXEIWE8",0,0,0,0
"MYEGBD3AX1U-EFEE",0,0,0,0
"H-0_UA58LK9CA4VU",0,0,0,0
"9-TRDRIOUZDNGBUC",0,0,0,0
"S66XGMUDJQNIRRVC",0,0,0,0
"YSWBKQMLDLXBKFIK",0,0,0,0
"NIKTBJ1PFBSGSE9I",0,0,0,0
"2STSKH5O0XHATKHE",0,0,0,0
"EFF1ZRKQKJLF44HO",0,0,0,0
"3PIYA041C7KX9ACM",0,0,0,0
"OUNO0ESBVWZMNKAG",0,0,0,0
"LE_N6Q2_VXZCR3T0",0,0,0,0
"XBP2SDC21MWZWDSG",0,0,0,0
"ONQRBJA94UOCLKIW",0,0,0,0
"NJTEIUS4I05VV8XK",0,0,0,0
"V_AAVXZK0U0GU5RY",0,0,0,0
"AAD8POUZJLDRZRWW",0,0,0,0
"LNYBFYYGO4BACDRO",0,0,0,0
"F64ETPGOWR8X7S0U",0,0,0,0
"Q3L2RHKUJTDT6LNY",0,0,0,0
"HFWEBBUSPEM_SQB0",0,0,0,0
"JW5IKK1RDLNAUG44",0,0,0,0
"DWOXD7Y3WQNQOV-M",0,0,0,0
"QRCS1ZEJX87HYG34",0,0,0,0
"7HTSKK7OCRRQUQB8",0,0,0,0
"HS5OKV1QOXVRC6JO",0,0,0,0
"4OB_AU6DOEEB8WCC",0,0,0,0
"H7ZGK6ZBIT_B2NAS",0,0,0,0
"W5PPIXJJD8IQ_MXY",0,0,0,0
"N-49OPH_J2EL-9C4",0,0,0,0
"RXULL6UMY7JLPCIY",0,0,0,0
"-CMZ9VE7NJ2_ZCCQ",0,0,0,0
"E_KHTVXCZXFBOOFK",0,0,0,0
"LXSMJM-HPH6YJLLY",0,0,0,0
"FB5TAKX0TOQVPWF0",0,0,0,0
"0WZN5NPO6_GMBS6C",0,0,0,0
"EGP4M1P2OMJS0R7W",0,0,0,0
"ZJFKKMG04TJDUDJ4",0,0,0,0
"NQAOIP22HRWJ7URY",0,0,0,0
"QSHJZUDEJEP-8ZDU",0,0,0,0
"AX91BVEKPPHH7HXQ",0,0,0,0
"TN0XQVN16VXOEUGQ",0,0,0,0
"LPTJ1QW2WKCOIURS",0,0,0,0
"AR79IAXYVBBVCCBE",0,0,0,0
"5IKCGHDOJI1HHC78",0,0,0,0
"LP7AZ17FGISTD7UO",0,0,0,0
"567JXN0NVZBT25-8",0,0,0,0
"KVYLXX7F_VXPGMHW",0,0,0,0
"RN771F2ESYFQPSEM",0,0,0,0
"TGHDPUTI7HJPH_UI",0,0,0,0
"QSJKAJP8ICORMKNA",0,0,0,0
"GAOVWAK1NNH9TXYY",0,0,0,0
"P6H_OFIWFGY2Z-RE",0,0,0,0
"E9-PYQXMS85V6KJ4",0,0,0,0
"SBQ7EE-ZMYKOIAIY",0,0,0,0
"GFLUMLFDRCOMXIYU",0,0,0,0
"5QU4YNUGWJKCY8FA",0,0,0,0
"BXCCBIECJ907GJ3E",0,0,0,0
"TGF7CT6MX8RXFUOA",0,0,0,0
"URR63EYVBSJS3JZM",0,0,0,0
"FYPDNRAIUR6ETDTC",0,0,0,0
"5P0XOTKSRZ5DW2NY",0,0,0,0
"RMJDSBKZQHOJ-8HM",0,0,0,0
"VFMSSPWL8M-9MV_0",0,0,0,0
"KB-2LKYRKK_1TUYK",0,0,0,0
"WKN1GKMQFQQT0UJ4",0,0,0,0
"E85AZYD4FNCZ3LMC",0,0,0,0
"9W-37JAHLUQG87YG",0,0,0,0
"W8IJZSZZ-LEWDV04",0,0,0,0
"LL5RALCZGHLWXACC",0,0,0,0
"HEFCXV1WFM2B0DZE",0,0,0,0
"QL7YL6MJ9FBZQ8VM",0,0,0,0
"NED5QLSYGA1LFH1C",0,0,0,0
"9PCZQDINOOJARPNI",0,0,0,0
"ES3T0Q5NOXUX4DSQ",0,0,0,0
"6LIIEOY9L9UL6VZA",0,0,0,0
"9HFKUMZ8PAEJALFO",0,0,0,0
"KEGNLRUR9QES7BUY",0,0,0,0
"TM9FM_OUH-5GW7WC",0,0,0,0
"ME5L17FYFDAKBES4",0,0,0,0
"HWQ7LAUBNY37KIHE",0,0,0,0
"HRX0ZPX9UX-ZWIWU",0,0,0,0
"0X8QB8VPDPQIEEYS",0,0,0,0
"SSGU-083Z4G1DCVM",0,0,0,0
"N-4ALZMBWYBEOC48",0,0,0,0
"2IXPRVUWBGJZJM-4",0,0,0,0
"ZOJINSENZKJHAPHE",0,0,0,0
"LQXEBVFB_NEHGWNY",0,0,0,0
"JKB0UBWITPLUR8UQ",0,0,0,0
"UXPAGUSCSEBRXW8K",0,0,0,0
"JBSFT5PT055XQDS0",0,0,0,0
"7V7EONOSAURN8AQE",0,0,0,0
"SHVSRFPAE4IJELE8",0,0,0,0
"EQNKSANIICTHUQHW",0,0,0,0
"LA4POBV_5XPEOZ1O",0,0,0,0
"XFO452N2WWLUM40M",0,0,0,0
"BD7EEYX4H8KTN7H0",0,0,0,0
"SAGVZ0NFM5W7FS6W",0,0,0,0
"HYLM-_LVGJJTMQHC",0,0,0,0
"HUBV1K1EZP81QZVY",0,0,0,0
"J8MNBP4X9Y5NG2EG",0,0,0,0
"QZ3RPO83FB03B3PQ",0,0,0,0
"FNHLSKWYQUBLIICG",0,0,0,0
"OMGMAIRYXPJMHEPM",0,0,0,0
"OSKD0HS2CQCVTUNS",0,0,0,0
"I_IF-7GL8ZRAASJU",0,0,0,0
"KZIR7XLLXZTUY6UC",0,0,0,0
"ZWZAQPJTOBSY2Y-O",0,0,0,0
"ZRN6LBWZQDPHKI28",0,0,0,0
"MYKOH27KXSHTAJ2O",0,0,0,0
"ILIDW02_UXBS3UX0",0,0,0,0
"ADHFX9PTGNSIWR2M",0,0,0,0
"X8S1MCFIAWSPTE7I",0,0,0,0
"7NN2IW_TD-UGH0P0",0,0,0,0
"RHCWHCB9JK14CIFM",0,0,0,0
"1RIOG8ALA5PRBTSG",0,0,0,0
"DB2PPZ0WWRHYMEAO",0,0,0,0
"5PTJDNI0_FX6KDB0",0,0,0,0
"YCBCXXJNVPYB6IUG",0,0,0,0
"YEKGNJM8QQQZHWVY",0,0,0,0
"3A2VH46M6F90UF68",0,0,0,0
"T7FCGHXIH8D6SMGY",0,0,0,0
"4W3RPTTKXQJECLYE",0,0,0,0
"1FRQDRBW4O-BR6_A",0,0,0,0
"LSJJZWQYTQXEIMIK",0,0,0,0
"PVOVISGBQRIXSYQM",0,0,0,0
"DXNEAG7ZTUWJDEUC",0,0,0,0
"ES6-JWU9CHAPDEDG",0,0,0,0
"L95SGL0T7W2X7KDS",0,0,0,0
"SHGURNGAMLSWQ7M0",0,0,0,0
"-CNPQYQ72UGPPUUG",0,0,0,0
"QYES0ENZBB5HRAXY",0,0,0,0
"FC-JHNH96FCNYGS8",0,0,0,0
"SNT7TCPHMPQKVSI4",0,0,0,0
"RHKB5UW8TVB5FWSQ",0,0,0,0
"3MKE45YTQ2V8KYTU",0,0,0,0
"VKOCFQC6PY41TMUY",0,0,0,0
"RCUI5OUIFVSH0SOY",0,0,0,0
"SXUNKWWZAMEFUOY4",0,0,0,0
"Z51PCIHPTHVDKDC8",0,0,0,0
"JXAOFE5OYWZEA2MK",0,0,0,0
"YTXVAU7EN6ASEQVE",0,0,0,0
"QHOY5MNABUTP-3C8",0,0,0,0
"MNUHSPV5NCXGDQYC",0,0,0,0
"CQTHDKEYIOBRSEAE",0,0,0,0
"0CG-7JFVHFFYZDPU",0,0,0,0
"JMNSGLRTFM77OLKM",0,0,0,0
"YRPGE7SEMC9YXHZI",0,0,0,0
"N92BB96SFCED4UU0",0,0,0,0
"B2A4NQT08SNPDLYQ",0,0,0,0
"5K5QBSV4SOXDCIHY",0,0,0,0
"ZAJSD8AKMADR_CAU",0,0,0,0
"PM_W9HR9HTIXFUN8",0,0,0,0
"5TZTCM02JSGKHIHU",0,0,0,0
"G-SVDRBTW_LIHPQC",0,0,0,0
"5J2ISLPL6N7NSSPA",0,0,0,0
"0ZKSYR5XDQR307JO",0,0,0,0
"Q3GA_SMTZPJ6BFIY",0,0,0,0
"8HAFHXB9NILJUNPG",0,0,0,0
"UBW5RU9QPIYKJE8I",0,0,0,0
"MC9M7W5EMEVCJRSA",0,0,0,0
"V8HCWSS7WW0EKP5U",0,0,0,0
"OTQVSRKDBTTLJB-K",0,0,0,0
"AFXTKWXOOSEKEKKA",0,0,0,0
"P-SMG1YXE5ATZ6MM",0,0,0,0
"-S6C56BXBDHFURFA",0,0,0,0
"GEEI2GTCLYO02TYE",0,0,0,0
"SNDPPVLWUKMPLG6M",0,0,0,0
"KOFFHLMYBF_JFDFO",0,0,0,0
"4HVK3CLAWEP93MGA",0,0,0,0
"YDMEUJ6WSDKCNW4A",0,0,0,0
"YEQ0DOJEKS9WOSKI",0,0,0,0
"ZHJQDGMXRO1AO76W",0,0,0,0
