"CUST_NO","TXN_DT","LN_AMT","LN_USE"
"CPZLIYKYNGBIT-TM",9521,1080978,"05"
"GGA6USVMM7I1D3W8",9519,848097,"06"
"PO_CPXTN_AUONGW0",9512,879483,"06"
"74TUUQKMMIHM0RPE",9514,960619,"16"
"GD2HAXWR2RHCSYAW",9491,864754,"05"
"MODMZGZATUJFNAHG",9537,805996,"08"
"BEQ8EUVP2YUTZXCS",9554,879483,"06"
"SAITXYWNNPPTYFT8",9484,879483,"02"
"VKUNTLLPM01NTVK0",9533,848097,"04"
"-TY2EP9WUDRA-AYK",9470,904731,"02"
"LIE2ORFCOEBUXFCG",9477,805996,"14"
"GFYURPULRLXMKBHW",9478,864754,"14"
"ZOKAQGFZDKFMQRUU",9550,777569,"14"
"Z6YRTOR16YUP-RXI",9564,848097,"04"
"1LFJW-GB4GP1RRJI",9518,848097,"07"
"EIRIYRGOECAJH5SE",9492,944357,"05"
"-V1CEESK2BKFJ-LW",9514,944357,"06"
"_SKKERPYCGLH7SFM",9507,960619,"09"
"Z_5RI1UHDPL_BTXE",9470,904731,"06"
"OROGT7SZ5ZQJXICO",9484,848097,"04"
"O3QIDSTZ5U5SWUAA",9548,777569,"14"
"VFKYDLXWWKKYWXQ8",9528,828864,"07"
"ZB1N4RX4KTC9UMG0",9452,925966,"05"
"7IRSLB_AMF972IWA",9449,739437,"14"
"Q_9OSIWQN-ZEINTY",9449,848097,"14"
"BARBKLFM-Y38CP8Y",9456,777569,"04"
"NRULEQ9RFUIILL9S",9450,925966,"02"
"I8RVXX7UW6F9VM58",9477,739437,"08"
"NZ0BP8UZI6-UCHO0",9486,879483,"02"
"TANCIDHQZVHUOU84",9492,904731,"02"
"MQ0SNUKTD3L8RSDY",9547,739437,"14"
"-H9QFRB2LON_HROE",9537,805996,"03"
"DZL7-2WSFAXN51TA",9548,944357,"06"
"OQ2H-VQUBH7MMATM",9555,848097,"03"
"AVIP0VE52BQXB0DG",9567,879483,"05"
"BYH3WETEVJLO364Q",9522,904731,"02"
"4E6BTBG9TZAZXC4E",9555,960619,"14"
"ZWDNUIBW1FDGERGO",9512,925966,"19"
"Z9RWPIUGR6WCDWIY",9555,810934,"06"
"B9T8JO71JSI6WMIU",9547,828864,"07"
"L5O16OIXYDWLOG84",9546,739437,"14"
"5S357TMN-TRIJPJC",9518,756311,"08"
"8IK2BPVTIWVOLON8",9528,988495,"14"
"UAN1DAF0GB9M3I7E",9554,739437,"14"
"OPZN6IKDPWTU6MXC",9512,864754,"07"
"-FM1FQXGOJURX_AI",9469,904731,"14"
"VH_LXOAO3ALESKOI",9466,1000675,"02"
"VYCWRYUERY8HEHC4",9465,848097,"09"
"4RK8D7HQF73TN60S",9451,925966,"14"
"BSUUZDAVJTG_GTLY",9450,975222,"02"
"0F6CPMRAXFMHKZO0",9518,848097,"14"
"4MYVPCF3ALJPNB7M",9465,952720,"16"
"YK9S_RTCZXK84RC8",9527,1112753,"06"
"IQSJ9O4D7CI9EI0M",9486,848097,"02"
"8-NX6SDSLGWBACUI",9548,988495,"06"
"CEM6STGOEJXNMI6W",9540,848097,"06"
"RDUCFNOBT1WDHPPK",9485,904731,"06"
"SIIIVGF7W3BG1WXY",9528,960619,"06"
"QF4CEMSCW24AGDCY",9556,904731,"02"
"LNMIXVOVHSI1_UBG",9563,988495,"02"
"WKVWIV0L6HZQZYWY",9456,864754,"04"
"ITQL9-LMD9LYVRJE",9511,848097,"06"
"-AV47UHRNPTMYNEU",9547,904731,"07"
"DSP5VZDUZKAOPDJS",9485,828864,"06"
"TMSNZFZ-N9JG6MVO",9549,848097,"06"
"QVEKBA7U1JWCZL44",9547,1218170,"06"
"ZRGLJDQBCAFLXCDK",9483,805996,"14"
"XGC8O_MGTMI8VHXK",9525,960619,"14"
"OJLKOQKVRCXI_GDC",9512,848097,"14"
"2UNRC9EMYZXFDTVO",9505,848097,"05"
"JU9EOPCBQTVPX0LQ",9512,805996,"02"
"EOY-HAAVQJOCVS-S",9466,879483,"14"
"ZITBU6CCLR6H4LNI",9485,879483,"02"
"AF3LZGTT_GGI6PDQ",9561,915763,"02"
"XIESSTYDE7WGEP_Q",9518,777569,"02"
"CWJQJG-XXOZ4QHSC",9525,848097,"11"
"ISCASIOHDMML4EYC",9522,828864,"05"
"FIST9ZORQVBYHM30",9518,960619,"07"
"U4O7RXRRYMDXDAIM",9533,805996,"09"
"NJAM6D1790LHDAZQ",9546,879483,"04"
"KBJ-HINA-BMQSDGY",9514,975222,"14"
"QJRQ6MV_0P-9Z1OS",9450,848097,"14"
"0WB0W74B9GNTV7I0",9504,805996,"14"
"8FRAMV3ABBCNBYZU",9555,892709,"06"
"F8Y_YRMFRDD6HMJC",9473,828864,"07"
"RRCPTUTWOWLAZ0GQ",9533,805996,"06"
"ARI-YCUU8TPODQNI",9471,960619,"06"
"UE6Y59VVXP_BSFPQ",9452,739437,"14"
"6B9EPYNBGGZMK8LG",9458,904731,"02"
"WFAV1JYGVAX5_DTM",9483,1080978,"01"
"4WLX3QNFLVCU0NDO",9490,879483,"06"
"QJ8975Q1ZVNCCKJ8",9478,756311,"03"
"SYW-P-RET-BIBH8M",9486,739437,"02"
"AJW-T1SY-O064OJ0",9500,904731,"19"
"C085_OPYBKMRQF80",9564,1011941,"18"
"5_Q21XWBHPEC6M00",9546,904731,"14"
"64GZYFUXNGWIZ7R0",9526,739437,"02"
"IAGNU6LL9K8I4WY0",9557,805996,"03"
"VGONVBWEAHCBT2NO",9458,739437,"14"
"9TQEURESMU2SPMQU",9490,988495,"05"
"519AWKZUIJYWTHTC",9466,960619,"14"
"POEAXSTJYKPAYX78",9470,739437,"14"
"ZA80SP-WI_R68W4K",9505,904731,"05"
"MTKXAMVWSJEITKBG",9564,848097,"02"
"RAT4NUHZPDXGIXYY",9511,848097,"08"
"LXBEZKNW-IKDU4E8",9508,988495,"07"
"IAYLYOLNKIT1S-J4",9513,904731,"07"
"R31REQZTIBKE-Q9O",9547,805996,"14"
"5QIJ0KOLDRETVM9A",9520,848097,"14"
"SFTKQWUZHU31-HIW",9513,944357,"02"
"F2MVAOLIQTKGEHJ8",9528,879483,"07"
"JAG9N9IZ3TYR78G0",9535,848097,"05"
"O3KSSQWV51WGRCSS",9535,1058465,"04"
"MCKC4M1PUDOBATMI",9525,848097,"14"
"UBFBJZ4GFCLI6DI8",9512,904731,"06"
"0EBL98DA61X4WAAO",9567,904731,"02"
"N6DMQ9GPKDWTXY4W",9507,805996,"02"
"U-BDSSLPYDMP-O3C",9490,1041480,"04"
"AYTMZEFRAMKT6ZBU",9469,925966,"04"
"J2NJH13-HFPUNXNE",9533,988495,"02"
"F0BDWDYWIEIUFREW",9548,1112753,"05"
"QQEGM1RNGHRMME1M",9550,879483,"06"
"GN2_RQZ4DPDP_UGY",9492,848097,"08"
"UHMB1UNECQGZH1NU",9470,848097,"05"
"Y57AZI_J6T3XDD9K",9536,1094426,"06"
"WUUYTLQGJPS5DWJS",9486,915763,"06"
"J1QOVKIYMIRJALJK",9500,805996,"04"
"PDRBM96SW2_IFOQK",9473,925966,"05"
"RM1R20LYKTYZOBW4",9549,904731,"02"
"OBOB6E10TQIZ-JCS",9479,879483,"14"
"SV0K1H95MTVGXQH8",9490,848097,"14"
"BEYXCK2BEVGMK3BY",9477,739437,"14"
"QYGNVIJ9PQ4VXW9O",9477,982008,"02"
"RHFGN_6JCZXEHN9G",9549,988495,"02"
"VKRO-FTDAT57HXSI",9555,1011941,"05"
"OBTM_DWW98PIBPJE",9511,904731,"02"
"UQ9DXLJ2HPKNKXAW",9500,805996,"14"
"GHOS77JVKMDYOTIG",9546,935465,"02"
"YDFTLHNA8IHJHTV4",9562,925966,"14"
"IFWGMAKSJEVQ7LWE",9520,879483,"07"
"MT5MJA03DFB3QZBA",9556,925966,"02"
"OULZS0C_UQX_4W2Y",9465,904731,"14"
"AETKHDM3QBKGLFNS",9547,777569,"05"
"HRW1EUBZVAKS-RNA",9450,777569,"14"
"IPZ7LDFE50-T3YY4",9476,1041480,"01"
"SXAD-9BFZ4JK1ZGS",9464,828864,"02"
"JBW8BOMVGUQGXCEE",9457,925966,"06"
"ZJ-S0J2LCLQNJBOK",9452,1139478,"01"
"Z56UFWB0QPLFCOLA",9457,848097,"04"
"HBIAZ23P4ZYZWCZ0",9456,848097,"18"
"QGN46AGMGL9_IC7C",9526,904731,"04"
"NSKTBQPOR9VZNKJQ",9499,925966,"14"
"6M31HLUWZN93GQTS",9550,944357,"18"
"TL5AQS8P2RP1NK9W",9457,848097,"21"
"DNT33VO3WMEPQD4U",9505,848097,"02"
"AQ-LMAC2NFFOKWCG",9549,988495,"06"
"PE5UE3F3ZWMN4V4U",9455,904731,"14"
"PUBR6F3KW1AK2-MO",9556,770924,"14"
"PMULNHDY5W9PJRK0",9491,777569,"08"
"0HHCKL7NUR-DUGT8",9522,925966,"05"
"IWFOTG913KNG62L8",9521,904731,"18"
"DUTMUHIU00GDQEXC",9505,988495,"02"
"_YQUS1Z_ESXV8WFS",9528,777569,"14"
"TLN0IMVH86JBBK_S",9486,960619,"18"
"BAQ4XAV0-HUEFSBC",9547,988495,"06"
"_FKJJLV8ADF4WL2K",9529,904731,"11"
"VP_A0LHK9LYOBZLI",9554,952720,"06"
"W-TSK3FGDPJVNUEE",9548,805996,"15"
"4FMP-MYNMWQ4EW6K",9534,848097,"08"
"VKNRY-WQNWSXMXMK",9529,988495,"06"
"KQYQ3RC5UXERVGS0",9485,975222,"06"
"ORDOKPQX4CRCGPJC",9553,1183088,"14"
"_SMIJKS9DDE1W4BG",9455,848097,"05"
"UFDOHMI5KOXFYVT4",9522,848097,"04"
"B0MXXZN1LZGWGERW",9535,864754,"14"
"-YC7FCQDSYU-YTIC",9505,848097,"14"
"G7UD5UVPZWPCZ-GC",9533,739437,"14"
"4OHTZJBJF00WVAJC",9513,848097,"05"
"GUPFLVAVAVIV9JT4",9540,904731,"06"
"FDGW9YTQUP9C6YAS",9548,944357,"06"
"BXXYG5WDXPBJTXTS",9469,795449,"02"
"JP8MVVITRAR_P0GE",9556,1112753,"07"
"OMVY9VK70YYHNCQO",9520,1080978,"14"
"TWU0-9PZ54LFRYPG",9480,988495,"14"
"9OBMW4MTLZR-T014",9512,805996,"03"
"AGP45R6WZLKUOFFQ",9560,1058465,"06"
"MHSZDBZ3LI5WK5SM",9492,904731,"05"
"PRSXPXMVJ_3N5ZCK",9527,739437,"14"
"MY6SEPVBVAUZ_T3Y",9547,1073816,"02"
"NUCAQ1VZL4MZMHJ4",9546,1218170,"06"
"2GQ8JIMVDNMJYNBI",9520,904731,"14"
"BMN1GOUXSP0PCOQG",9532,988495,"04"
"_0_ZUDW4R4VLTUM4",9507,944357,"02"
"CEQ1-ZPJ6AM4IHOA",9505,879483,"06"
"_PYJV7YEWQURE-CO",9505,904731,"05"
"7_CJ3SACWUKY0MXG",9555,879483,"04"
"G5DM098I0ZLQ8MNU",9532,848097,"05"
"PKWERL6I0ZOS38WW",9525,925966,"02"
"BV0TGUF-7ODMO81K",9547,848097,"02"
"6L8Z5GHBQ2BDXYRK",9536,739437,"05"
"H_AQQUAKUSIWN4UW",9555,988495,"04"
"3YZITEHICBOEYARY",9485,925966,"06"
