"CUST_NO","TXN_DT","CUST_RISK_CODE","INVEST_TYPE_CODE","WM_TXN_AMT"
"UC89BU3ZTSS40XR4",9464,4.0,2,254794
"6QRKF3UXSJ2FVVSG",9455,4.0,2,721714
"6QRKF3UXSJ2FVVSG",9465,4.0,2,137037
"BMRH605OFB5ZOHHC",9532,4.0,2,183150
"ASFEO7CE0BEVM9TU",9459,4.0,2,137037
"2DIVB_AUHB_TMH-K",9546,3.0,2,439191
"H5RMT_OOBO4KDIXG",9484,4.0,2,183150
"MHJAQYFXIPRYP710",9478,4.0,2,254794
"TZXYBNFTQ5JTMIYY",9484,4.0,2,137037
"TZXYBNFTQ5JTMIYY",9514,4.0,2,137037
"TZXYBNFTQ5JTMIYY",9525,4.0,2,137037
"TZXYBNFTQ5JTMIYY",9501,4.0,2,439191
"TZXYBNFTQ5JTMIYY",9501,4.0,2,318417
"TZXYBNFTQ5JTMIYY",9504,4.0,2,318417
"TZXYBNFTQ5JTMIYY",9539,4.0,2,439191
"UN24QYQW7YQVLIUA",9505,4.0,2,475451
"UWHO_SN4JUREOFF4",9463,4.0,2,505049
"UWHO_SN4JUREOFF4",9560,4.0,2,552254
"ZMHRNJADDUVTC8TU",9553,3.0,2,439191
"WRGTWDJMX-JEWGUG",9527,4.0,2,439191
"A5AQCDGIDYG7UZWI",9550,4.0,2,439191
"A5AQCDGIDYG7UZWI",9564,4.0,2,439191
"DHA31QCVHAZCSHUQ",9528,4.0,2,183150
"LGWCNP9YICJ_I2BG",9535,3.0,2,254794
"6QHGEGLZSEMJSX3E",9567,3.0,2,439191
"6QHGEGLZSEMJSX3E",9567,3.0,2,439191
"NLGX06ZHJ3BD5FJI",9507,4.0,2,439191
"VW86ZE4UIRXJZBDM",9522,3.0,2,391501
"GNX04TOVUFJT558G",9464,3.0,2,439191
"GNX04TOVUFJT558G",9459,3.0,2,1128001
"9A80IM-BSSARPJLS",9455,3.0,2,213240
"9A80IM-BSSARPJLS",9528,4.0,2,901677
"80MMPXAEOOBMLLZS",9550,4.0,2,439191
"GM-NOFTNEYSZTGYW",9500,4.0,2,439191
"R7XI4ZPLJGDPI4GO",9564,4.0,2,318417
"R7XI4ZPLJGDPI4GO",9564,4.0,2,318417
"GQCTMIEZGZN2V6TO",9490,4.0,2,439191
"DRUKRZETA79CPL8O",9485,4.0,2,270684
"MRZLPUCEL4R84-XW",9511,4.0,2,505049
"MRZLPUCEL4R84-XW",9511,4.0,2,439191
"IZ_HZHFDUW7AQL5U",9476,4.0,2,137037
"HPRKVHBKBF71XKXS",9476,4.0,2,213240
"ZVYHNKIE3QKELMIE",9501,4.0,2,213240
"ZVYHNKIE3QKELMIE",9501,4.0,2,213240
"5JWF_QCELGN0EJ1K",9557,3.0,2,439191
"5JWF_QCELGN0EJ1K",9564,3.0,2,439191
"C9U1NAX6NBQGDOBG",9459,4.0,2,973187
"6LWXLCN3NTSF_JY8",9515,3.0,2,797298
"R5B96HHWEG1WJ5IS",9521,4.0,2,1061490
"98DO3DJW7SO6FRJO",9456,4.0,2,721714
"WVVU1QD9JFSQXIBO",9455,3.0,2,318417
"RKYTKYJKH256AUVS",9511,3.0,2,391501
"ANEGQW6_LE_VZHJ0",9499,3.0,2,439191
"ANEGQW6_LE_VZHJ0",9519,3.0,2,439191
"G9S2HKMSDMTTZE94",9514,4.0,2,137037
"8WYP4WBDSPVRU_GC",9485,4.0,2,1309790
"AYTRSQSXQRFFEPBG",9564,4.0,2,439191
"AYTRSQSXQRFFEPBG",9564,4.0,2,439191
"BBRFFDWDQY8EKM-C",9504,3.0,2,505049
"BVGAT9FJOQKNOXD0",9546,4.0,2,439191
"4EUUKTV9TRT1STUM",9469,3.0,2,137037
"EBI_G_XSTJUYVY9W",9548,4.0,2,213240
"RJS0CUUIZA1WLMFI",9504,4.0,2,137037
"CCDU5JAEOWN_4NE8",9527,3.0,2,901677
"QRN1IG2O8YYC4S4G",9515,4.0,2,571885
"QRN1IG2O8YYC4S4G",9520,4.0,2,552254
"QRN1IG2O8YYC4S4G",9501,4.0,2,571885
"QRN1IG2O8YYC4S4G",9505,4.0,2,589642
"7MPC6OULN1SF43B4",9477,4.0,2,137037
"7MPC6OULN1SF43B4",9477,4.0,2,137037
"7MPC6OULN1SF43B4",9486,4.0,2,137037
"ISXGBORJYU87QVL8",9507,4.0,2,439191
"ISXGBORJYU87QVL8",9505,4.0,2,439191
"MSWDWT19OKGUWGG0",9511,4.0,2,439191
"GGSJEA9SWARBB_3G",9500,4.0,2,505049
"GGSJEA9SWARBB_3G",9546,4.0,2,605885
"GGSJEA9SWARBB_3G",9546,4.0,2,505049
"GGSJEA9SWARBB_3G",9483,4.0,2,439191
"ZLCTQM6RKTPVB4H4",9518,4.0,2,270684
"JAOEMR5KTZEQFHVC",9508,4.0,2,475451
"JAOEMR5KTZEQFHVC",9508,4.0,2,439191
"K-WT8AZB39PAJFK0",9452,4.0,2,505049
"NMLLMARDWWSH9FRG",9515,4.0,2,505049
"IN4ZJ9B2SJCG_TNQ",9499,4.0,2,137037
"JBMGKVXKQLJVXOQ0",9555,4.0,2,922360
"1UUPFK9PPVPSMWGI",9532,3.0,2,417267
"IWRHHJ1NNSMQGQDE",9478,3.0,2,439191
"YX0S-WJFVF88QPJE",9477,4.0,2,505049
"VI6OOMENGNASXNZG",9547,2.0,2,1061490
"5FFLEP46L10NSBLG",9526,3.0,2,721714
"AJTTDU4VQZBL0JZI",9449,3.0,2,137037
"AJTTDU4VQZBL0JZI",9490,3.0,2,137037
"G0-LMP52D-GB3WN8",9533,4.0,2,439191
"GKYJ67VL_HZGTMGU",9501,4.0,2,183150
"GKYJ67VL_HZGTMGU",9560,4.0,2,213240
"AWJRRH3W6L5C7HZE",9549,3.0,2,137037
"WNRVWOUDCTT7NK20",9526,4.0,2,605885
"W6Y8SKOMWAGAWF8M",9479,2.0,2,439191
"CIQBQR7KGRRMHOQI",9483,4.0,2,439191
"RK25GL0M5AQSGY-4",9476,4.0,2,505049
"RK25GL0M5AQSGY-4",9476,4.0,2,391501
"MMEAEEKGIIWD3HUK",9540,4.0,2,137037
"MMEAEEKGIIWD3HUK",9560,4.0,2,183150
"AQTWRADEKZ7LNZOE",9522,4.0,2,137037
"AQTWRADEKZ7LNZOE",9463,4.0,2,137037
"3G__CTSHK-K9-_ZY",9553,3.0,2,439191
"XHDBEGXDXKLJS8SK",9469,4.0,2,183150
"JZLWZVUIB23RYE_Q",9462,4.0,2,183150
"JZLWZVUIB23RYE_Q",9462,4.0,2,183150
"DJDYEURYFINRIQ_Y",9499,4.0,2,505049
"DJDYEURYFINRIQ_Y",9490,4.0,2,439191
"WFHGLWJBHKE4TPU0",9490,4.0,2,439191
"WFHGLWJBHKE4TPU0",9490,4.0,2,439191
"WFHGLWJBHKE4TPU0",9490,4.0,2,318417
"OA9SQIO-KGFVT0WC",9563,4.0,2,236119
"IPFCXXQRML-3FDYE",9560,3.0,2,901677
"K7GHZ_OMT1RBLXBK",9511,3.0,2,605885
"TLPJRLAH8IYR6ITI",9526,4.0,2,605885
"0YVTUXEUMM8TTTMO",9546,3.0,2,505049
"0YVTUXEUMM8TTTMO",9546,3.0,2,505049
"EXVTVQB5HEEHTCBY",9557,4.0,2,1165775
"YVN2ESHLV46OR98S",9514,4.0,2,137037
"Y2FE7TJ3FX0DY09K",9464,3.0,2,236119
"WNHTEOLIRVWXB6WG",9499,3.0,2,797298
"D-3MH_EDCYVLQDBG",9465,4.0,2,137037
"D-3MH_EDCYVLQDBG",9479,4.0,2,183150
"SZGLTRADEEIS2KZ4",9458,4.0,2,183150
"SZGLTRADEEIS2KZ4",9458,4.0,2,183150
"R0ZM1RBSTATJCKKM",9450,3.0,2,505049
"DTOEPI-QJAE2REZ4",9525,3.0,2,137037
"DTOEPI-QJAE2REZ4",9527,3.0,2,137037
"JCVC97JTVV1TYIN0",9520,4.0,2,439191
"GEHLKH0LM2SZCZNI",9470,4.0,2,137968
"ZUWX8UBGTUTMNUTM",9553,3.0,2,439191
"U5SPBPXOVLGYB5PG",9499,2.0,2,505049
"7UULOVCFNTH90QME",9490,4.0,2,417267
"LSKZJJ0G828_UB4S",9463,3.0,2,439191
"BEZV34ZHXAFI5SS8",9511,3.0,2,439191
"4KBTB1IARQDMK0PS",9465,3.0,2,505049
"OSU1PEU8TNYPZSQU",9513,4.0,2,439191
"JC1AZDKUBKDGWT4Q",9546,4.0,2,505049
"EBMYJ0LDVM3L82SM",9500,2.0,2,183150
"ITA9JT5AHV1MQ6JO",9490,4.0,2,183150
"ITA9JT5AHV1MQ6JO",9526,4.0,2,213240
"ITA9JT5AHV1MQ6JO",9455,4.0,2,213240
"98DJS8YZOLVUGLIU",9491,3.0,2,605885
"AJQCLVXRLHZHSK7E",9463,4.0,2,797298
"AJQCLVXRLHZHSK7E",9470,4.0,2,344896
"AJQCLVXRLHZHSK7E",9463,4.0,2,797298
"AJQCLVXRLHZHSK7E",9463,4.0,2,797298
"AJQCLVXRLHZHSK7E",9469,4.0,2,901677
"AJQCLVXRLHZHSK7E",9549,4.0,2,605885
"AJQCLVXRLHZHSK7E",9526,4.0,2,1297733
"JGVVJWOZ_5FL3CI8",9462,4.0,2,137037
"ROQFWEKHAUQ__WZW",9455,3.0,2,1528240
"KGPCTJQG51RH6N3C",9452,3.0,2,137037
"7LEYYGFXAD9JTYI4",9532,3.0,2,505049
"VAXEP7RDT4IMFDKC",9521,4.0,2,213240
"8_G4-FEJMBZHGAVA",9499,4.0,2,505049
"X2SKLETVJO1CS0QY",9455,3.0,2,137037
"HHVHO2E9QI4VZNEW",9492,4.0,2,183150
"OLC_PFLABB-M7JGA",9522,4.0,2,439191
"1XR1KSFZIEQE7XF8",9490,4.0,2,183150
"1XR1KSFZIEQE7XF8",9518,4.0,2,183150
"7Q4FTLR69BBYDDM8",9522,4.0,2,439191
"ANJUNI6FAQBI-PHW",9533,3.0,2,213240
"ANJUNI6FAQBI-PHW",9533,3.0,2,254794
"R0NWEQVKMSSFQEYS",9499,3.0,2,439191
"JD8KMRASCX3ZY8EK",9507,4.0,2,605885
"X-HFNV_LFLXSVPQ4",9469,4.0,2,183150
"X-HFNV_LFLXSVPQ4",9560,4.0,2,183150
"MGDDUODJP7K2HSKO",9499,4.0,2,505049
"MGDDUODJP7K2HSKO",9499,4.0,2,183150
"3CWCPH5HAM2F5DBU",9486,3.0,2,137037
"3CWCPH5HAM2F5DBU",9515,3.0,2,137037
"LFN4NGUBLYMWSFPW",9479,4.0,2,505049
"X_5XWMGLYAQJHOA8",9499,3.0,2,183150
"X_5XWMGLYAQJHOA8",9518,3.0,2,137037
"ZAZG7TSITX9YDZFA",9527,4.0,2,505049
"_9WFZGTQKFFKRNYY",9472,4.0,2,213240
"_9WFZGTQKFFKRNYY",9472,4.0,2,213240
"LCWPBYBFHNK4HON4",9540,4.0,2,803683
"GGXERUGOZG1C0I64",9555,4.0,2,721714
"DJRFASNFBH1ZTSAU",9470,4.0,2,254794
"YGJRSZ7IDF-KHB1A",9452,4.0,2,797298
"YGJRSZ7IDF-KHB1A",9458,4.0,2,213240
"H9LA-U4WMOAUJRDS",9455,3.0,2,439191
"H9LA-U4WMOAUJRDS",9455,3.0,2,439191
"H9LA-U4WMOAUJRDS",9463,3.0,2,439191
"ZUZS49ECFXOGPYMY",9518,3.0,2,605885
"T0M1SSS9RE6MR8KK",9562,4.0,2,505049
"GA0TSY8RBRATMUC8",9513,4.0,2,682659
"GA0TSY8RBRATMUC8",9513,4.0,2,682659
"GA0TSY8RBRATMUC8",9513,4.0,2,682659
"WRV_TJT8IWJBGPVC",9520,3.0,2,605885
"WRV_TJT8IWJBGPVC",9562,3.0,2,721714
"EIICYN_SGDACCOGE",9536,4.0,2,183150
"MAONOLDCCKVTFMBY",9455,3.0,2,439191
"MAONOLDCCKVTFMBY",9539,3.0,2,1367923
"WBQ4FOF2HFKE1-W4",9527,4.0,2,213240
"WBQ4FOF2HFKE1-W4",9455,3.0,2,417267
"KDSQ58DPCBDRMMFI",9470,4.0,2,605885
"KDSQ58DPCBDRMMFI",9504,4.0,2,284578
"ORBKNNGLH9K7AXI0",9526,2.0,2,605885
"-ZNLI0CQ_NMKTP0C",9507,3.0,2,439191
"PJM3KEUCCUH-K9GW",9505,3.0,2,721714
"XKEUVKBXXHKP4KQA",9504,4.0,2,373445
"Z5VYOMRQCXEMEBMI",9485,4.0,2,769920
"VYAM9SELUQB_4MA8",9521,3.0,2,318417
"AVTOENNGFF9EHIX0",9539,3.0,2,183150
"KYWCXT3STQCTDHKG",9465,4.0,2,797298
"KYWCXT3STQCTDHKG",9471,4.0,2,790741
"KYWCXT3STQCTDHKG",9462,4.0,2,762552
"S4JS_DARRN4PKX-G",9561,3.0,2,183150
"S4JS_DARRN4PKX-G",9567,3.0,2,439191
"S4JS_DARRN4PKX-G",9564,3.0,2,318417
"5OVPNKF7G6D8XXDS",9449,4.0,2,439191
"J11BJXGHGJ0SAXIK",9528,4.0,2,213240
"9TOGLWPFBFXMKQ44",9491,4.0,2,183150
"ZPEMYZZBGHLWWCTW",9555,4.0,2,797298
"RJKVJDWEQUEWTESW",9553,3.0,2,137037
"RJKVJDWEQUEWTESW",9499,3.0,2,439191
"F-O5SXZTKDA5GIIE",9479,3.0,2,605885
"F-O5SXZTKDA5GIIE",9479,3.0,2,605885
"F-O5SXZTKDA5GIIE",9539,3.0,2,605885
"F-O5SXZTKDA5GIIE",9567,3.0,2,605885
"0KPDPHJP5UY35R98",9470,4.0,2,505049
"0KPDPHJP5UY35R98",9472,4.0,2,137037
"0KPDPHJP5UY35R98",9472,4.0,2,183150
"0KPDPHJP5UY35R98",9472,4.0,2,183150
"0KPDPHJP5UY35R98",9472,4.0,2,183150
"0KPDPHJP5UY35R98",9472,4.0,2,137037
"0KPDPHJP5UY35R98",9472,4.0,2,183150
"0KPDPHJP5UY35R98",9472,4.0,2,137037
"0KPDPHJP5UY35R98",9472,4.0,2,183150
"LCSVKXVP7UTAVEPQ",9507,3.0,2,183150
"WRJQI_KEYCDNRPZ8",9469,4.0,2,183150
"WRJQI_KEYCDNRPZ8",9504,4.0,2,183150
"WRJQI_KEYCDNRPZ8",9518,4.0,2,183150
"WRJQI_KEYCDNRPZ8",9458,4.0,2,213240
"WRJQI_KEYCDNRPZ8",9458,4.0,2,213240
"V-LYFJVM-YKDDZRU",9449,4.0,2,605885
"OJEVHBPYXDQ_68UK",9455,4.0,2,439191
"HYAS_M8QFAMRXALM",9471,4.0,2,213240
"OR7MWIEVYTEFT4O0",9452,4.0,2,721714
"T0OXB5JSZF77EYNY",9519,4.0,2,439191
"6IYLETYVVEKUC83Y",9455,4.0,2,183150
"BECKKCVQBG5BTYJS",9562,4.0,2,137037
"BECKKCVQBG5BTYJS",9562,4.0,2,137037
"1XJFOGISEO5L644E",9486,4.0,2,439191
"1XJFOGISEO5L644E",9486,4.0,2,439191
"1XJFOGISEO5L644E",9507,4.0,2,183150
"F1-QRIC6UCPGRKOY",9539,3.0,2,439191
"OLXI3JWZXKZ_MOIW",9514,4.0,2,505049
"OLXI3JWZXKZ_MOIW",9514,4.0,2,183150
"GT9NYHVACY0WIW7O",9477,4.0,2,137037
"2A5MWZQ-5PSCIMS0",9518,3.0,2,318417
"2A5MWZQ-5PSCIMS0",9564,4.0,2,758779
"TUORGUAUXIWZ5NUS",9490,4.0,2,183150
"3O69U2TDY2ZLYZTO",9499,4.0,2,213240
"WSLRELU3KEOF19_8",9536,4.0,2,254794
"0XEFPRXPSMJSA-YI",9449,4.0,2,605885
"GNBCLWFQARNTBYHU",9462,4.0,2,391501
"7TVQXEAQJLU9HZ5O",9457,4.0,2,439191
"7TVQXEAQJLU9HZ5O",9462,4.0,2,439191
"7TVQXEAQJLU9HZ5O",9457,4.0,2,439191
"7TVQXEAQJLU9HZ5O",9462,4.0,2,270684
"X5X9RMBRUMZUNW7I",9477,4.0,2,137037
"6LS1MSERMZU6M-FU",9521,4.0,2,505049
"TBI7JTHWBHTVVDNY",9499,4.0,2,505049
"TBI7JTHWBHTVVDNY",9499,4.0,2,505049
"BV2ADKUN4S_UKB6U",9449,3.0,2,439191
"BV2ADKUN4S_UKB6U",9480,3.0,2,439191
"BV2ADKUN4S_UKB6U",9528,3.0,2,439191
"BV2ADKUN4S_UKB6U",9567,3.0,2,439191
"BV2ADKUN4S_UKB6U",9472,3.0,2,270684
"BV2ADKUN4S_UKB6U",9491,3.0,2,270684
"BV2ADKUN4S_UKB6U",9499,3.0,2,270684
"BV2ADKUN4S_UKB6U",9490,3.0,2,270684
"BV2ADKUN4S_UKB6U",9507,3.0,2,270684
"BV2ADKUN4S_UKB6U",9527,3.0,2,730488
"BV2ADKUN4S_UKB6U",9526,3.0,2,754944
"BV2ADKUN4S_UKB6U",9455,3.0,2,973187
"BV2ADKUN4S_UKB6U",9522,3.0,2,914275
"BV2ADKUN4S_UKB6U",9526,3.0,2,888459
"BV2ADKUN4S_UKB6U",9477,3.0,2,568123
"BV2ADKUN4S_UKB6U",9504,3.0,2,586222
"BV2ADKUN4S_UKB6U",9477,3.0,2,530233
"GLPGRNT14BSD4XZE",9511,4.0,2,137037
"JZ_TIFTN7SJ1KPSI",9512,3.0,2,439191
"JZ_TIFTN7SJ1KPSI",9512,3.0,2,439191
"JZ_TIFTN7SJ1KPSI",9512,3.0,2,439191
"JZ_TIFTN7SJ1KPSI",9546,3.0,2,439191
"F_WSCFONXF4XN_W8",9490,3.0,2,505049
"F_WSCFONXF4XN_W8",9490,3.0,2,505049
"-JBFVEYYN7FEBC2I",9525,4.0,2,254794
"_DT51LCA470E4PR0",9564,4.0,2,254794
"DBRHBSZBGQAEVAGA",9553,4.0,2,439191
"9OIRA3PKYBRTPIEC",9480,4.0,2,137037
"JBY6MOSC1S2XDTIC",9486,4.0,2,505049
"NFZRZKJMAK9IZZXW",9477,4.0,2,762552
"NFZRZKJMAK9IZZXW",9477,4.0,2,762552
"NFZRZKJMAK9IZZXW",9477,4.0,2,1783576
"NFZRZKJMAK9IZZXW",9477,4.0,2,721714
"F0YN0YZPAVUO93IC",9513,4.0,2,605885
"F0YN0YZPAVUO93IC",9513,4.0,2,605885
"GGBDRFTZPKRA87UA",9556,2.0,2,327876
"PG7MP3BJRXDMIY5Q",9525,4.0,2,183150
"PAFTQ10YXUGYKBMU",9508,4.0,2,183150
"PAFTQ10YXUGYKBMU",9526,4.0,2,183150
"MUQLJBYAQIQDQLY4",9507,4.0,2,137037
"MUQLJBYAQIQDQLY4",9507,4.0,2,137037
"TVFW4CS4ZQSXKHTI",9459,3.0,2,505049
"IUIAQK71QRQJZATO",9459,4.0,2,439191
"IUIAQK71QRQJZATO",9464,4.0,2,439191
"FF_9JMJXYTGIQFLY",9476,4.0,2,137037
"OMOBV9C7FJYCF8Z0",9519,4.0,2,270684
"SKHR8UXYRMFOGE3A",9466,4.0,2,137037
"SJNXSUGO_D_U-LSA",9492,4.0,2,605885
"SJNXSUGO_D_U-LSA",9499,4.0,2,671684
"SJNXSUGO_D_U-LSA",9499,4.0,2,605885
"SJNXSUGO_D_U-LSA",9492,4.0,2,671684
"FASQVIVVZF1ZNG98",9486,4.0,2,236119
"FASQVIVVZF1ZNG98",9486,4.0,2,236119
"FASQVIVVZF1ZNG98",9486,4.0,2,236119
"YN8ZWABEVNRM0KE0",9553,4.0,2,439191
"QF986UJPZLJMXNXM",9469,4.0,2,183150
"QF986UJPZLJMXNXM",9469,4.0,2,183150
"NGY8AVMJZHJZUDX0",9490,3.0,2,183150
"7VD8C8B9XI8R_EIM",9555,4.0,2,213240
"7VD8C8B9XI8R_EIM",9555,4.0,2,213240
"7VD8C8B9XI8R_EIM",9555,4.0,2,213240
"Z5KTUSZX8ZF_ODDO",9507,4.0,2,318417
"Z5KTUSZX8ZF_ODDO",9507,4.0,2,318417
"9R1TED0LUFOTHRWA",9479,3.0,2,213240
"ZOFUAN4AREMUXOVQ",9508,4.0,2,439191
"BXJSSRFF2NBUTBMS",9457,4.0,2,183150
"WGEOGORL6ODSRZPW",9479,4.0,2,183150
"MZ7IPCHTQYFLHBM0",9478,3.0,2,439191
"MZ7IPCHTQYFLHBM0",9478,3.0,2,439191
"MZ7IPCHTQYFLHBM0",9478,3.0,2,439191
"4LJXHAL0KDAAUFZO",9563,3.0,2,534860
"4LJXHAL0KDAAUFZO",9563,3.0,2,520595
"ESHYNJ0NBZITVQ78",9490,4.0,2,254794
"ESHYNJ0NBZITVQ78",9490,4.0,2,439191
"ZCYJ9ZWCGNWJAYMK",9562,3.0,2,505049
"GEQSTILRE13OR804",9476,3.0,2,797298
"SR-5CPOHSO15OGHK",9546,4.0,2,505049
"HYJQV6DOHWDZNFAU",9485,4.0,2,439191
"CBYYKKJV79MUZAZ0",9456,4.0,2,137037
"CBYYKKJV79MUZAZ0",9459,4.0,2,137037
"CBYYKKJV79MUZAZ0",9486,4.0,2,887554
"QKF8IADV88AV8NQY",9513,4.0,2,505049
"QKF8IADV88AV8NQY",9533,4.0,2,505049
"NUULDBVYIWX1EVRE",9462,4.0,2,137037
"U2BC0KZHGBTD3H6I",9535,3.0,2,183150
"BZ0H7NXSIW8TG5XU",9471,4.0,2,137037
"BZ0H7NXSIW8TG5XU",9539,4.0,2,508643
"8QPAYM7WU2QZEMSI",9452,4.0,2,391501
"BYZTDOJCQQJ0LNXW",9499,4.0,2,183150
"SNIFCHGGVZL61YXA",9490,4.0,2,137037
"IBODKFWAMXA_VZBE",9550,4.0,2,254794
"O99H1CMU4LU4QG90",9464,3.0,2,505049
"5DQGV43QMHI201BE",9473,4.0,2,318417
"PMOCBNUFWV5FJ88Q",9505,3.0,2,505049
"HWR8EIAT03IISDGI",9499,4.0,2,505049
"Z2896MUK7LBNUJ_C",9483,4.0,2,284578
"Z2896MUK7LBNUJ_C",9476,4.0,2,284578
"MVEA6SODTHMD2H1I",9449,4.0,2,1318003
"MVEA6SODTHMD2H1I",9521,4.0,2,254794
"MVEA6SODTHMD2H1I",9521,4.0,2,254794
"6YMD7SSJJPRETEVE",9459,4.0,2,505049
"EDHLLATBXIO7OSNG",9490,4.0,2,439191
"VWQTT-4GJ5NSDBQM",9449,4.0,2,213240
"1P_AIWBCBBLDJ8QK",9449,4.0,2,505049
"LIS28H52KTP_IAUC",9550,4.0,2,213240
"LIS28H52KTP_IAUC",9567,4.0,2,137037
"LIS28H52KTP_IAUC",9553,4.0,2,183150
"OY6CCPRKFGMEDDPI",9499,4.0,2,183150
"KRBRC271W6C7OYBG",9462,4.0,2,137037
"ZNCSBKSAPCOOU5_K",9547,3.0,2,505049
"ZNCSBKSAPCOOU5_K",9555,3.0,2,505049
"5CZ_QJ3RIYEWYI3G",9476,4.0,2,605885
"5CZ_QJ3RIYEWYI3G",9484,4.0,2,571885
"TT8C3XXTYD5J66VS",9471,4.0,2,505049
"BGF_TG9UTR6I49VQ",9464,4.0,2,439191
"BGF_TG9UTR6I49VQ",9464,4.0,2,439191
"TS_TXRVHBKRVEKHM",9463,4.0,2,505049
"TS_TXRVHBKRVEKHM",9463,4.0,2,183150
"TS_TXRVHBKRVEKHM",9473,4.0,2,183150
"TS_TXRVHBKRVEKHM",9473,4.0,2,183150
"JSR6C_0UXVSWTX0A",9534,4.0,2,1107338
"U68YDF6RY_4UDG_C",9476,4.0,2,505049
"M2SY91AGT82EYRCW",9484,4.0,2,505049
"NMTTM44MT4HJCQQC",9485,4.0,2,137037
"JCVU5BSMQQRSWGG8",9504,3.0,2,439191
"TPAF659X_J_-JUVM",9546,4.0,2,236119
"TPAF659X_J_-JUVM",9546,4.0,2,213240
"TPAF659X_J_-JUVM",9546,4.0,2,213240
"JLIFVVVEH1UJKM6I",9499,4.0,2,2007740
"EDZV7RXFGJH9VDWY",9490,3.0,2,137037
"CIULBHORLIPTZZFK",9501,4.0,2,213240
"CIULBHORLIPTZZFK",9567,4.0,2,213240
"CIULBHORLIPTZZFK",9567,4.0,2,213240
"CIULBHORLIPTZZFK",9492,4.0,2,571885
"CIULBHORLIPTZZFK",9532,"",2,336670
"G0DAI8PK6BTMUFHW",9472,4.0,2,505049
"J4TDT-FHISWP1CQW",9499,4.0,2,721714
"QKRJL2TTAFCZ7FGG",9514,4.0,2,505049
"QKRJL2TTAFCZ7FGG",9522,4.0,2,505049
"2NMB716QVE6TWOT8",9462,4.0,2,505049
"FKBNYYJZFK70AGA4",9499,4.0,2,183150
"FKBNYYJZFK70AGA4",9499,4.0,2,183150
"2Y5YAUPUVL0M-DV0",9476,3.0,2,213240
"2Y5YAUPUVL0M-DV0",9476,3.0,2,213240
"KICWVACK9NRNYUU4",9508,3.0,2,137037
"QHEXQFPSLCYUZM4U",9512,3.0,2,605885
"6CU20E8WG-3TC0BI",9522,4.0,2,505049
"6CU20E8WG-3TC0BI",9512,4.0,2,183150
"6CU20E8WG-3TC0BI",9532,4.0,2,270684
"XG8F6K6WJAVMDHZ4",9526,4.0,2,439191
"DGKX7CAPEDOT7M8I",9455,4.0,2,254794
"BANPEMSG0HBGALDO",9521,2.0,2,505049
"CJWRBTKS5XCSSOMM",9458,4.0,2,721714
"CJWRBTKS5XCSSOMM",9518,4.0,2,1403844
"QXUE2MDXDTXCKOUK",9471,4.0,2,439191
"QXUE2MDXDTXCKOUK",9471,4.0,2,439191
"1TZT_0UONNQWUDEK",9478,3.0,2,318417
